"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
187,"CG03LH0187","SALIHABHATA TANK","Chhattisgarh Water Resources Department","22° 12 ' 3""","82° 44 ' 57""",1991,"Mahanadi","Local nalla","Korba","II","Earthfill_Embankment",11.5,690,56000,1161000,388000,942000,"I",108
188,"CG03LH0188","SALIHAPARA TANK","Chhattisgarh Water Resources Department","22° 16 ' 12""","82° 25 ' 53""",1991,"Mahanadi","Local nalla","Khatghora","II","Earthfill_Embankment",10.1,960,64000,580000,160000,533000,"I",26
189,"CG03LH0189","SALKHA TANK","Chhattisgarh Water Resources Department","22° 42 ' 57""","83° 17 ' 6""",1991,"Mahanadi","Local nalla","Dharmjaygarh","II","Earthfill_Embankment",12.5,750,167000,1039000,304000,880000,"I",79
190,"CG03LH0190","SISTRINGA TANK","Chhattisgarh Water Resources Department","22° 27 ' 9""","83° 18 ' 54""",1991,"Mahanadi","Local nalla","Dharmjaygarh","II","Earthfill_Embankment",12.5,750,167000,1092000,265000,951000,"I",72
191,"CG03MH0191","TUMDIH","Chhattisgarh Water Resources Department","22° 4 ' 32""","83° 19 ' 48""",1991,"Mahanadi","Kosam","Gharghoda","III","Earthfill_Embankment",19,1200,593000,2420000,611000,2160000,"I",117
192,"CG03LH0192","UDKA TANK","Chhattisgarh Water Resources Department","22° 18 ' 47""","81° 29 ' 34""",1991,"Mahanadi","Local nalla","Pandaria","II","Earthfill_Embankment",12.5,780,98000,1319000,404000,1207000,"I",89
193,"CG03MH0193","ULIYA TANK","Chhattisgarh Water Resources Department","23° 24 ' 51""","83° 32 ' 26""",1991,"Ganga","Local","Ambikapur","II","Earthfill_Embankment",24.58,600,201000,2148000,350000,2007000,"I",63
194,"CG03HH0194","CHHIRPANI","Chhattisgarh Water Resources Department","22° 17 ' 7""","81° 11 ' 53""",1993,"Mahanadi","Phonk","kawardha","II","Earthfill_Embankment",31.64,450,0,70910000,5088000,50250000,"I",1500
195,"CG03LH0195","GHATOI TANK","Chhattisgarh Water Resources Department","21° 50 ' 51""","83° 7 ' 35""",1992,"Mahanadi","Ghatoi","sakti","II","Earthfill_Embankment",10.15,1950,73000,3458000,1627000,2076000,"I",154
196,"CG03MH0196","GURSIA TANK","Chhattisgarh Water Resources Department","22° 40 ' 37""","82° 31 ' 18""",1992,"Mahanadi","Local nalla","Katghora","III","Earthfill_Embankment",17.15,130,440000,609000,202000,565000,"I",74
197,"CG03LH0197","KHALLARI TANK","Chhattisgarh Water Resources Department","23° 6 ' 16""","82° 16 ' 25""",1992,"Ganga","Local","Mahasamund","II","Earthfill_Embankment",10.8,704,48000,1311000,490000,1164000,"I",44
198,"CG03MH0198","MURWADAND TANK","Chhattisgarh Water Resources Department","22° 42 ' 55""","82° 26 ' 59""",1992,"Mahanadi","Bhalgar","Khatghora","III","Earthfill_Embankment",15.9,210,153000,1483000,124000,1330000,"I",167
199,"CG03LH0199","NEEMGAON TANk","Chhattisgarh Water Resources Department","22° 58 ' 3""","84° 11 ' 46""",1992,"Brahmani and Baitarni","local nalla","Nagar","II","Earthfill_Embankment",12.7,596,137000,1695000,394000,1124000,"I",84
200,"CG03LH0200","RENGAKHAR","Chhattisgarh Water Resources Department","22° 3 ' 12""","81° 12 ' 58""",1992,"Mahanadi","Local nalla","Kawarha","II","Earthfill_Embankment",14.85,780,0,525000,241000,506000,"I",46
201,"CG03MH0201","ROCHAND","Chhattisgarh Water Resources Department","22° 25 ' 34""","81° 11 ' 8""",1992,"Mahanadi","Local nalla","Kawarha","II","Earthfill_Embankment",16.6,1330,0,1179000,482220,1136000,"I",68
202,"CG03LH0202","USARITOLA","Chhattisgarh Water Resources Department","20° 59 ' 59""","81° 17 ' 50""",1992,"Mahanadi","Local nalla","Dondi","II","Earthfill_Embankment",10.25,870,0,7806000,270000,7450000,"I",106.88
203,"CG03MH0203","BHORTOLA TANK","Chhattisgarh Water Resources Department","21° 5 ' 18""","80° 43 ' 13""",1963,"Mahanadi","Local nalla","Dallirajhara","II","Earthfill_Embankment",15.3,780,0,1253000,449400,1042000,"I",66.27
204,"CG03LH0204","KOPRA TANK","Chhattisgarh Water Resources Department","22° 3 ' 55""","82° 3 ' 0""",1993,"Mahanadi","Local nalla","Pakhatpur","II","Earthfill_Embankment",10.96,1680,113000,40000,210000,37000,"I",271
205,"CG03MH0205","DANDGAON TANK","Chhattisgarh Water Resources Department","22° 53 ' 0""","82° 51 ' 38""",1994,"Mahanadi","Local nalla","Udaypur","II","Earthfill_Embankment",17.12,1410,117000,2945000,716000,2676000,"I",40
206,"CG03MH0206","K.C.B.BARRAGE","Chhattisgarh Water Resources Department","20° 39 ' 31""","81° 33 ' 44""",1988,"Mahanadi","Mahanadi River","Dhamtari","II","Other",21.7,464,320000,4496000,2747000,NA,"I",14000
207,"CG03MH0207","NARKOLA TANK","Chhattisgarh Water Resources Department","22° 58 ' 12""","83° 7 ' 38""",1994,"Ganga","Local","Lakhanpur","II","Earthfill_Embankment",17.75,457,188000,2603000,465000,2344000,"I",93
208,"CG03MH0208","DEOKATTA","Chhattisgarh Water Resources Department","21° 12 ' 58""","80° 46 ' 7""",1996,"Mahanadi","Local nalla","Dongaragarh","II","Earthfill_Embankment",18.42,548,30280,3170000,559000,3030000,"I",144
209,"CG03MH0209","BARKELA TANK","Chhattisgarh Water Resources Department","23° 18 ' 13""","82° 19 ' 58""",1999,"Mahanadi","Local nalla","Manendragarh","II","Earthfill_Embankment",17.56,610,142000,1531000,276000,1433000,"I",56
210,"CG03MH0210","PANDRIDAND TANK","Chhattisgarh Water Resources Department","22° 56 ' 10""","82° 51 ' 15""",1999,"Mahanadi","Local nalla","Ambikapur","II","Earthfill_Embankment",16.2,930,181000,2501000,221000,2338000,"I",52
211,"CG03MH0211","TURGA TANK","Chhattisgarh Water Resources Department","22° 53 ' 37""","83° 4 ' 25""",1999,"Ganga","Local","Lakhanpur","II","Earthfill_Embankment",16.68,350,79000,1170000,251000,1097000,"I",46
212,"CG03MH0212","CHHOTA PALGI T.","Chhattisgarh Water Resources Department","23° 9 ' 7""","83° 5 ' 59""",2000,"Ganga","Local","Ambikapur","II","Earthfill_Embankment",17,435,61000,297000,64000,278000,"I",14
213,"CG03HH0213","GHUNGHUTTA TANK","Chhattisgarh Water Resources Department","23° 1 ' 27""","83° 13 ' 19""",2000,"Mahanadi","ghunghutta","Ambikapur","II","Earthfill_Embankment",31.5,4995,620500,820000,12657000,620000,"I",2120
214,"CG03MH0214","BATRA TANK","Chhattisgarh Water Resources Department","23° 17 ' 15""","82° 59 ' 11""",2002,"Ganga","Local","Bhaiyathana","II","Earthfill_Embankment",15.91,1500,528000,7240000,1700000,6880000,"I",110
215,"CG03LH0215","DEOGAON TANK","Chhattisgarh Water Resources Department","21° 9 ' 51""","82° 25 ' 53""",2002,"Mahanadi","local nalla","Mahasamund","II","Earthfill_Embankment",11.43,1494,0,7520000,1808000,7119000,"I",149.75
216,"CG03MH0216","GEJ RESERVIOR","Chhattisgarh Water Resources Department","23° 19 ' 12""","82° 33 ' 53""",2002,"Mahanadi","Gej Nalla","Baikunthpur","III","Earthfill_Embankment",27.5,4065,3504000,25500000,4133000,22870000,"I",698
217,"CG03MH0217","MALHANIYA TANK","Chhattisgarh Water Resources Department","22° 43 ' 18""","82° 50 ' 53""",2002,"Mahanadi","Malhaniya","pendra","II","Earthfill_Embankment",21.8,2700,677000,858000,1836000,785000,"I",270
218,"CG03LH0218","MASOOLJOB TANK","Chhattisgarh Water Resources Department","21° 2 ' 21""","80° 36 ' 54""",2002,"Mahanadi","jharia nalla","Rajnandgaon","II","Earthfill_Embankment",11.17,1050,102220,3757000,349000,3264000,"I",73
219,"CG03LH0219","SAKARSUNDARI TANK","Chhattisgarh Water Resources Department","22° 13 ' 12""","83° 10 ' 45""",2002,"Mahanadi","Local nalla","Dharmjaygarh","II","Earthfill_Embankment",13.13,315,77000,1069000,93000,791000,"I",123
220,"CG03MH0220","CHAMPI TANK","Chhattisgarh Water Resources Department","22° 23 ' 12""","82° 7 ' 13""",2003,"Mahanadi","Champi","kota","II","Earthfill_Embankment",15.42,2160,335000,1364000,4523000,1237000,"I",374
221,"CG03MH0221","GHONGHA TANK","Chhattisgarh Water Resources Department","22° 18 ' 26""","81° 58 ' 50""",1981,"Mahanadi","Ghonga","kota","II","Earthfill_Embankment",17.88,720,301000,34030000,7880000,30070000,"I",666
222,"CG03LH0222","KHURSIPAR","Chhattisgarh Water Resources Department","21° 13 ' 7""","80° 57 ' 10""",2003,"Mahanadi","Terhi","Dongaragarh","II","Earthfill_Embankment",10.2,930,28460,1485000,714000,1270000,"I",52
223,"CG03LH0224","RAMCHANDRAPUR T.","Chhattisgarh Water Resources Department","23° 56 ' 32""","83° 29 ' 35""",2003,"Ganga","Local","pal","III","Earthfill_Embankment",14.2,355,75000,1028000,274000,746000,"I",64
224,"CG03LH0225","TAMTA TANk","Chhattisgarh Water Resources Department","22° 31 ' 41""","83° 26 ' 14""",2003,"Mahanadi","Local nalla","Pathalgaon","II","Earthfill_Embankment",14.45,793,232000,3342000,802000,2405000,"I",275
225,"CG03LH0226","BARAT SAGAR TANK","Chhattisgarh Water Resources Department","22° 18 ' 30""","81° 42 ' 41""",2004,"Mahanadi","Local nalla","Wrmi","II","Earthfill_Embankment",13.5,1600,125000,222000,741000,115000,"I",148
226,"CG03MH0227","BARDAR TANK","Chhattisgarh Water Resources Department","23° 4 ' 7""","82° 22 ' 14""",2004,"Mahanadi","Local nalla","Khadgawan","II","Earthfill_Embankment",18.3,810,367000,4897000,903000,4314000,"I",112
227,"CG03MH0228","JAGATPUR TANk","Chhattisgarh Water Resources Department","23° 17 ' 34""","82° 25 ' 21""",2004,"Mahanadi","Local nalla","Baikunthpur","II","Earthfill_Embankment",18.86,180,191000,1132000,592000,1090000,"I",34
228,"CG03MH0229","KACHHOD TANK","Chhattisgarh Water Resources Department","23° 26 ' 43""","82° 9 ' 23""",1994,"Ganga","Local","Mahendragarh","II","Earthfill_Embankment",16.9,270,203000,231000,72000,226000,"I",14
229,"CG03MH0230","KADNA TANK","Chhattisgarh Water Resources Department","23° 31 ' 25""","82° 24 ' 46""",2004,"Ganga","Local","Sonhat","II","Earthfill_Embankment",21.6,165,104000,1500000,230000,1340000,"I",24
230,"CG03MH0231","LAI TANK","Chhattisgarh Water Resources Department","23° 17 ' 40""","82° 20 ' 25""",2004,"Mahanadi","Local nalla","Manendragarh","II","Earthfill_Embankment",16.5,518,374000,357000,126000,285000,"I",35
231,"CG03MH0232","SALIYADIH TANK","Chhattisgarh Water Resources Department","23° 12 ' 34""","83° 24 ' 7""",2004,"Ganga","Local","Ambikapur","II","Earthfill_Embankment",15.9,465,163000,790000,159000,726000,"I",41
232,"CG03MH0233","AYABHANDHA","Chhattisgarh Water Resources Department","20° 51 ' 33""","80° 51 ' 3""",2005,"Mahanadi","local","Dongaragarh","II","Earthfill_Embankment",16.2,495,67250,1158000,436000,1060000,"I",50
233,"CG03MH0234","CHANDRA NAGAR T.","Chhattisgarh Water Resources Department","23° 56 ' 31""","83° 29 ' 35""",2005,"Ganga","Local","Ramchandra","II","Earthfill_Embankment",20.91,285,225000,3414000,593000,2785000,"I",105
234,"CG03LH0235","KOLIYARI TANK","Chhattisgarh Water Resources Department","20° 52 ' 21""","80° 45 ' 13""",2005,"Mahanadi","Local nalla","Dongaragarh","II","Earthfill_Embankment",12.57,1140,112790,2160000,339000,1948000,"I",106
235,"CG03MH0236","RAJPURI TANK","Chhattisgarh Water Resources Department","23° 29 ' 35""","82° 25 ' 53""",2005,"Ganga","Local","Ambikapur","II","Earthfill_Embankment",15.6,1260,186000,1707000,378000,593000,"I",96
236,"CG03MH0237","PARASRAMPUR T.","Chhattisgarh Water Resources Department","23° 7 ' 10""","83° 15 ' 57""",2006,"Ganga","Garasili","Surajpur","II","Earthfill_Embankment",20.7,1260,1500000,945000,164000,856000,"I",198
237,"CG03MH0239","GANGPUR TANK","Chhattisgarh Water Resources Department","22° 47 ' 49""","81° 50 ' 53""",2007,"Ganga","Khudar","pendra","II","Earthfill_Embankment",16.4,1110,219000,198000,566000,162000,"I",150
238,"CG03MH0240","SARDIH TANK","Chhattisgarh Water Resources Department","23° 5 ' 54""","83° 19 ' 35""",2007,"Ganga","Local","Manora","II","Earthfill_Embankment",19,540,266000,2319000,435000,2139000,"I",67
239,"CG03MH0241","SEMRAHA TANK","Chhattisgarh Water Resources Department","22° 57 ' 3""","81° 49 ' 21""",2007,"Ganga","Local","pendra","II","Earthfill_Embankment",19.75,595,321000,285000,1610000,264000,"I",103
240,"CG03MH0242","PACHNI TANK","Chhattisgarh Water Resources Department","23° 26 ' 14""","81° 24 ' 52""",2008,"Ganga","Pachni","Bharatpur","II","Earthfill_Embankment",21.6,165,183000,2560000,54000,976000,"I",110
241,"CG03MH0243","KOPAR NALLA TANK","Chhattisgarh Water Resources Department","22° 19 ' 42""","83° 10 ' 0""",NA,"Mahanadi","Kopar Nala","Dharmjaygarh","II","Earthfill_Embankment",17.2,600,245000,3093000,664000,2697000,"I",174
242,"CG03MH0244","KATEKALYAN","Chhattisgarh Water Resources Department","18° 47 ' 30""","81° 39 ' 43""",NA,"Godavari","Local","Dantewada","II","Earthfill_Embankment",16.24,870,158000,1223000,331000,1120000,"I",51
243,"CG03MH0245","BARNAI RESERVIOR","Chhattisgarh Water Resources Department","22° 54 ' 3""","83° 10 ' 33""",2007,"Ganga","Barnai","Ambikapur","II","Earthfill_Embankment",24.7,2010,11150000,1200000,1226000,1150000,"I",379
244,"CG03MH0246","GHUMARAPADAR T.","Chhattisgarh Water Resources Department","19° 55 ' 50""","82° 29 ' 58""",2012,"Mahanadi","Local nalla","Raipur","II","Earthfill_Embankment",20.8,900,375360,5562000,1197000,4974000,"I",219
245,"CG03MH0247","KOSARTEDA","Chhattisgarh Water Resources Department","19° 27 ' 10""","81° 51 ' 51""",2013,"Godavari","Kosarteda","jagdolpur","II","Earthfill_Embankment",25.6,1305,808000,72760000,15870000,63700000,"I",1100
246,"CG03MH0248","MAHARAJPUR TANK","Chhattisgarh Water Resources Department","23° 19 ' 23""","82° 12 ' 38""",NA,"Mahanadi","Local nalla","Manendragarh","II","Earthfill_Embankment",16.5,518,195000,308000,191000,258000,"I",30
247,"CG03MH0249","PIPERCHEDI TANK","Chhattisgarh Water Resources Department","20° 48 ' 18""","82° 7 ' 28""",NA,"Mahanadi","Local nalla","Raipur","II","Earthfill_Embankment",15.18,2103,422270,7154000,1401000,8208000,"I",158
248,"CG03MH0250","PV-133","Chhattisgarh Water Resources Department","19° 42 ' 8""","80° 40 ' 2""",NA,"Godavari","Local","Kanker","II","Earthfill_Embankment",16.12,480,0,2143000,737000,2008000,"I",45
249,"CG03MH0251","SONKACHHAR TANK","Chhattisgarh Water Resources Department","22° 31 ' 43""","81° 54 ' 42""",NA,"Ganga","Sone","pendra","II","Earthfill_Embankment",17.76,510,160000,487000,702000,434000,"I",187
250,"CG03LH0252","PALACHUR","Chhattisgarh Water Resources Department","20° 13 ' 27""","81° 55 ' 47""",NA,"Mahanadi","Local nalla","Kanker","II","Earthfill_Embankment",14.63,933,151000,2160000,498000,2017000,"I",38
251,"CG03LH0253","AONDHI T.","Chhattisgarh Water Resources Department","20° 14 ' 16""","80° 29 ' 49""",1984,"Godavari","Bande","Rajnandgaon","II","Earthfill_Embankment",12,2580,0,5803000,1923000,5267000,"I",NA
252,"CG03LH0254","DHUPKOT TANK","Chhattisgarh Water Resources Department","19° 57 ' 39""","82° 42 ' 18""",2014,"Mahanadi","Nagaldih Nala","bindra","II","Earthfill_Embankment",11.59,1320,159130,1995000,697000,1801000,"I",92
253,"CG03LH0255","GANIYARI TANK","Chhattisgarh Water Resources Department","20° 54 ' 56""","82° 3 ' 57""",2008,"Mahanadi","Local nalla","Raipur","II","Earthfill_Embankment",13.3,1871,307000,6358000,651000,5773000,"I",1857
254,"CG03LH0256","KANESAR TANK","Chhattisgarh Water Resources Department","20° 49 ' 22""","82° 5 ' 59""",2011,"Mahanadi","Mura","bindra","II","Earthfill_Embankment",10.03,1097,140015,2250000,405000,2120000,"I",69
255,"CG03LH0257","PELAM TANK","Chhattisgarh Water Resources Department","22° 5 ' 43""","83° 8 ' 21""",NA,"Mahanadi","Pelam Nala","Dharmjaygarh","II","Earthfill_Embankment",11.5,820,157000,1042000,359000,944000,"I",54
256,"CG03LH0258","PHARASPAL","Chhattisgarh Water Resources Department","18° 56 ' 19""","81° 15 ' 25""",NA,"Godavari","Local","Dantewada","II","Earthfill_Embankment",14.7,525,105000,948000,219000,840000,"I",59
257,"CG03LH0259","SALAP TANK","Chhattisgarh Water Resources Department","21° 18 ' 33""","81° 32 ' 58""",NA,"Mahanadi","Kharun","Durg","II","Earthfill_Embankment",12.2,870,127000,1350000,358000,1261000,"I",48
258,"CG03LH0260","TUREMARKA","Chhattisgarh Water Resources Department","19° 5 ' 41""","80° 44 ' 38""",1982,"Godavari River","Satti Nalla","jagdolpur","II","Earthfill_Embankment",12.6,165,60000,159000,22000,154000,"I",510
1,"GA18MH0001","AMTHANE","Goa Water Resources Department","15° 40 ' 15""","73° 54 ' 26""",1987,"West Flowing Rivers from Tapi to Tadri","Amthane Nallah","Mapusa Goa","III","Earthfill_Embankment",22.5,760,8e+05,5970600,680000,5809400,"I",85
2,"GA18HH0002","ANJUNEM","Goa Water Resources Department","15° 37 ' 0""","74° 5 ' 20""",1989,"West Flowing Rivers from Tapi to Tadri","Gunuleni Nala","Sattari","III","Other",42.8,176,98990,44830000,2530000,41680000,"I",482
3,"GA18MH0003","PANCHWADI","Goa Water Resources Department","15° 17 ' 24""","74° 6 ' 6""",1989,"West Flowing Rivers from Tapi to Tadri","Zuari Nala","Ponda","III","Earthfill_Embankment",20,230,NA,4470900,530000,4367100,"I",80
4,"GA18MH0004","CHAPOLI","Goa Water Resources Department","15° 1 ' 30""","74° 2 ' 44""",2000,"West Flowing Rivers from Tapi to Tadri","Chapoli Nala","Chaudi Canacona","III","Earthfill_Embankment",25.5,760,860000,9982400,1100000,8765800,"I",85
5,"GA18HH0005","SALAULIM","Goa Water Resources Department","15° 12 ' 45""","74° 10 ' 44""",2000,"West Flowing Rivers from Tapi to Tadri","Gulleti nadi","Sanguem Taluka","III","Other",42.5,1003.83,2223390,234360000,29640000,227160000,"I",1450
1,"GJ04LH0001","Bhadhaka","Gujarat Engineering Research Institute","23° 1 ' 45""","73° 41 ' 33""",1868,"Mahi","Kotar","Godhara","III","Earthfill_Embankment",14,81,0,1440000,NA,1028000,"I",202
2,"GJ04MH0002","Panelia","Gujarat Engineering Research Institute","22° 10 ' 40""","71° 22 ' 50""",1882,"Sabarmati","Local River","Jasdan","IV","Earthfill_Embankment",15,564,0,755000,1700000,755000,"I",332
3,"GJ04LH0003","Revania","Gujarat Engineering Research Institute","22° 12 ' 22""","71° 21 ' 24""",1882,"Sabarmati","Goma","Jasdan","III","Earthfill_Embankment",10,554,0,2182000,NA,2182000,"I",172
4,"GJ04MH0004","Ajwa","Gujarat Engineering Research Institute","22° 23 ' 0""","73° 23 ' 0""",1892,"Mahi","Surya","Waghoriya","III","Earthfill_Embankment",17.07,4390,637000,63430000,1.4e+07,63430000,"I",243.84
5,"GJ04MH0005","Lalpari","Gujarat Engineering Research Institute","22° 18 ' 0""","70° 51 ' 0""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Aji","Rajkot","III","Earthfill_Embankment",25.9,3431.71,0,29090000,6589000,28500000,"S",1785
6,"GJ04MH0006","Veri","Gujarat Engineering Research Institute","22° 0 ' 3""","70° 48 ' 17""",1900,"West Flowing Rivers of Kutch and Saurashtra including Luni","Gondali","Gondal","III","Earthfill_Embankment",6.5,2810,562000,4580000,3578000,4580000,"S",1642
7,"GJ04MH0007","Khambhala","Gujarat Engineering Research Institute","21° 44 ' 45""","69° 45 ' 45""",1901,"West Flowing Rivers of Kutch and Saurashtra including Luni","Torania","Ranavav","III","Earthfill_Embankment",69,2250,0,15410000,3324,15350000,"S",344
8,"GJ04LH0008","Vijarkhi","Gujarat Engineering Research Institute","22° 24 ' 20""","70° 10 ' 59""",1901,"West Flowing Rivers of Kutch and Saurashtra including Luni","Fulzar-Nani","Jamnagar","IV","Earthfill_Embankment",11,1341,0,10020000,2930000,10010000,"I",453
9,"GJ04MH0009","Adhia","Gujarat Engineering Research Institute","22° 10 ' 28""","71° 3 ' 52""",1902,"West Flowing Rivers of Kutch and Saurashtra including Luni","Beti","Jasdan","III","Earthfill_Embankment",15,1829,0,2970000,NA,2040000,"I",429
10,"GJ04MH0010","Alansagar","Gujarat Engineering Research Institute","22° 4 ' 35""","71° 13 ' 31""",1901,"West Flowing Rivers of Kutch and Saurashtra including Luni","Bhadar","Jasdan","III","Earthfill_Embankment",19,655,0,12740000,NA,5768000,"I",487
11,"GJ04LH0011","Hanshthal","Gujarat Engineering Research Institute","22° 14 ' 0""","69° 33 ' 39""",1902,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Voklo","Khambhalia","IV","Earthfill_Embankment",12,122,5640000,5640000,NA,3940000,"I",390.76
12,"GJ04LH0012","Moldi","Gujarat Engineering Research Institute","22° 24 ' 27""","71° 7 ' 28""",1902,"West Flowing Rivers of Kutch and Saurashtra including Luni","T-Machhu","Chotila","III","Earthfill_Embankment",12,1440,3115000,2265000,NA,2265000,"I",181
13,"GJ04LH0013","Rajavadala","Gujarat Engineering Research Institute","22° 5 ' 49""","71° 9 ' 58""",1902,"West Flowing Rivers of Kutch and Saurashtra including Luni","Bundanpuri","Jasdan","III","Earthfill_Embankment",11,650,0,1900000,NA,1900000,"I",377
14,"GJ04MH0014","Mota Ankadia","Gujarat Engineering Research Institute","21° 39 ' 13""","71° 5 ' 49""",1903,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Amreli","III","Earthfill_Embankment",0,0,0,1189460,650000,1114690,"I",242
15,"GJ04MH0015","Chimnabai-Lake","Gujarat Engineering Research Institute","23° 55 ' 51""","72° 38 ' 35""",1906,"West Flowing Rivers of Kutch and Saurashtra including Luni","Rupen","Kheralu","III","Earthfill_Embankment",15,4840,1740000,17880000,6480000,17880000,"I",944
16,"GJ04MH0016","Paneli","Gujarat Engineering Research Institute","21° 53 ' 18""","70° 9 ' 21""",1906,"West Flowing Rivers of Kutch and Saurashtra including Luni","Fulzar","Upleta","IV","Earthfill_Embankment",14,3468,613000,19820000,3700000,5460000,"I",780
17,"GJ04MH0017","Anandpar","Gujarat Engineering Research Institute","22° 19 ' 15""","70° 51 ' 3""",1907,"West Flowing Rivers of Kutch and Saurashtra including Luni","T-Aji","Rajkot","III","Earthfill_Embankment",15,231,43000,2266000,2400000,1900000,"I",NA
18,"GJ04MH0018","Kuvadwa","Gujarat Engineering Research Institute","22° 22 ' 26""","70° 57 ' 5""",1908,"West Flowing Rivers of Kutch and Saurashtra including Luni","T-Machhu","Rajkot","III","Earthfill_Embankment",16,534,108000,1900000,1580000,755000,"I",24
19,"GJ04LH0019","Savli","Gujarat Engineering Research Institute","22° 57 ' 17""","73° 6 ' 56""",1910,"Sabarmati","Local Stream","Kapadvanj","III","Earthfill_Embankment",11,2301,0,487500000,NA,4875000,"I",204
20,"GJ04MH0020","Dhanora","Gujarat Engineering Research Institute","22° 28 ' 13""","73° 21 ' 13""",1911,"Mahi","Local Nalla","Waghoriya","III","Earthfill_Embankment",15,1829,37986,3570000,365000,3050000,"I",425.17
21,"GJ04LH0021","Mota Bandharia","Gujarat Engineering Research Institute","21° 33 ' 36""","71° 6 ' 42""",1911,"West Flowing Rivers of Kutch and Saurashtra including Luni","Salal","Amreli","III","Earthfill_Embankment",10,2840,0,1680000,NA,1588000,"I",840
22,"GJ04MH0022","Muvalia","Gujarat Engineering Research Institute","22° 48 ' 48""","74° 14 ' 11""",1911,"Mahi","Dudhimoti","Dahod","III","Earthfill_Embankment",20,544,622000,6763000,NA,4036000,"I",1019
23,"GJ04MH0023","Doswada","Gujarat Engineering Research Institute","21° 7 ' 22""","73° 31 ' 6""",1912,"West Flowing Rivers from Tapi to Tadri","Mindhola","Songadh","III","Earthfill_Embankment",10.05,777,1162000,4950000,1333000,4746000,"I",899.18
24,"GJ04MH0024","Limla","Gujarat Engineering Research Institute","23° 24 ' 9""","72° 51 ' 4""",1912,"Sabarmati","khari","Prantij","III","Earthfill_Embankment",15,427,231000,8350000,1700000,8350000,"I",707
25,"GJ04LH0025","Vangroli","Gujarat Engineering Research Institute","22° 5 ' 3""","73° 14 ' 56""",1912,"Mahi","Vehla","Thabra","II","Earthfill_Embankment",11.5,2126,0,5999000,NA,5595000,"I",218
26,"GJ04MH0027","Fakirwadi","Gujarat Engineering Research Institute","23° 11 ' 55""","69° 37 ' 21""",1913,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Bhuj","V","Earthfill_Embankment",18.11,408,253000,980000,NA,980000,"I",65
27,"GJ04LH0028","Dhameli","Gujarat Engineering Research Institute","21° 40 ' 11""","71° 33 ' 46""",1914,"West Flowing Rivers of Kutch and Saurashtra including Luni","Rangholi","Damnagar","III","Earthfill_Embankment",12.5,640,0,1987000,NA,1694000,"I",NA
28,"GJ04MH0029","Ramdhani","Gujarat Engineering Research Institute","21° 42 ' 26""","71° 48 ' 30""",1914,"West Flowing Rivers of Kutch and Saurashtra including Luni","Phalka Nadi","Sihor","III","Earthfill_Embankment",18,275,0,2040000,NA,2040000,"I",306
29,"GJ04LH0030","Pichhavi","Gujarat Engineering Research Institute","20° 55 ' 0""","70° 51 ' 0""",1916,"West Flowing Rivers of Kutch and Saurashtra including Luni","Sangavad","Kodinar","III","Earthfill_Embankment",10.5,2866,0,50690000,NA,5033000,"I",499
30,"GJ04LH0031","Vadatalav","Gujarat Engineering Research Institute","22° 29 ' 37""","73° 33 ' 20""",1916,"Mahi","Kotar","Halol","III","Earthfill_Embankment",10,2669.45,707400,2389000,40100,2302000,"I",47.86
31,"GJ04LH0032","Pratappura","Gujarat Engineering Research Institute","22° 29 ' 11""","73° 23 ' 38""",1930,"Mahi","Khari","Waghoriya","III","Earthfill_Embankment",10.67,2500,5150000,4120000,2600000,4120000,"S",26
32,"GJ04LH0033","Gangasagar","Gujarat Engineering Research Institute","24° 18 ' 22""","72° 32 ' 19""",1933,"West Flowing Rivers of Kutch and Saurashtra including Luni","T Of Banas","Palanpur","III","Earthfill_Embankment",12.5,198,0,3022000,8050000,2719000,"I",84.96
33,"GJ04LH0034","Shiney","Gujarat Engineering Research Institute","23° 2 ' 29""","70° 3 ' 27""",1934,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Anjar","V","Earthfill_Embankment",11.5,NA,0,12790000,NA,12790000,"I",NA
34,"GJ04MH0035","Solsandha","Gujarat Engineering Research Institute","24° 5 ' 13""","72° 54 ' 6""",1935,"Sabarmati","T Of Banas","Danta","III","Earthfill_Embankment",17,325,0,1529000,1800000,1032000,"I",205
35,"GJ04MH0036","Wandh","Gujarat Engineering Research Institute","23° 22 ' 23""","69° 42 ' 49""",1950,"West Flowing Rivers of Kutch and Saurashtra including Luni","Khari","Bhuj","V","Earthfill_Embankment",11.19,400,67000,806000,NA,781000,"I",74
36,"GJ04LH0037","Kharedi","Gujarat Engineering Research Institute","22° 52 ' 15""","74° 17 ' 33""",1939,"Mahi","Kotar","Dahod","III","Earthfill_Embankment",12,600,156240,425000,770000,380000,"I",119
